[0.020s][info][gc] Using The Z Garbage Collector
[182.241s][info][gc] GC(181) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[182.842s][info][gc] GC(182) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[183.344s][info][gc] GC(183) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[183.942s][info][gc] GC(184) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[184.841s][info][gc] GC(185) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[185.341s][info][gc] GC(186) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[185.841s][info][gc] GC(187) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[186.342s][info][gc] GC(188) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[186.842s][info][gc] GC(189) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[187.342s][info][gc] GC(190) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[187.841s][info][gc] GC(191) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[188.241s][info][gc] GC(192) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[188.841s][info][gc] GC(193) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[189.241s][info][gc] GC(194) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[189.841s][info][gc] GC(195) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[190.242s][info][gc] GC(196) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[190.842s][info][gc] GC(197) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[191.342s][info][gc] GC(198) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[191.842s][info][gc] GC(199) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[192.341s][info][gc] GC(200) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[192.841s][info][gc] GC(201) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[193.341s][info][gc] GC(202) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[193.841s][info][gc] GC(203) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[194.241s][info][gc] GC(204) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[194.741s][info][gc] GC(205) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[195.142s][info][gc] GC(206) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[195.841s][info][gc] GC(207) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[196.242s][info][gc] GC(208) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[196.841s][info][gc] GC(209) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[197.241s][info][gc] GC(210) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[197.841s][info][gc] GC(211) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[198.341s][info][gc] GC(212) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[198.842s][info][gc] GC(213) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[199.342s][info][gc] GC(214) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[199.842s][info][gc] GC(215) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[200.342s][info][gc] GC(216) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[200.842s][info][gc] GC(217) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[201.341s][info][gc] GC(218) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[201.841s][info][gc] GC(219) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[202.341s][info][gc] GC(220) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[202.841s][info][gc] GC(221) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[203.241s][info][gc] GC(222) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[203.842s][info][gc] GC(223) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[204.342s][info][gc] GC(224) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[204.842s][info][gc] GC(225) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[205.342s][info][gc] GC(226) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[205.841s][info][gc] GC(227) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[206.241s][info][gc] GC(228) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[206.841s][info][gc] GC(229) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[207.341s][info][gc] GC(230) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[207.841s][info][gc] GC(231) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[208.341s][info][gc] GC(232) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[208.842s][info][gc] GC(233) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[209.242s][info][gc] GC(234) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[209.842s][info][gc] GC(235) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[210.241s][info][gc] GC(236) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[210.841s][info][gc] GC(237) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[211.241s][info][gc] GC(238) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[211.393s][info][gc] Allocation Stall (main) 7.938ms
[211.394s][info][gc] GC(239) Garbage Collection (Allocation Stall) 18M(90%)->12M(60%)
[211.406s][info][gc] Allocation Stall (main) 6.578ms
[211.408s][info][gc] GC(240) Garbage Collection (Allocation Stall) 18M(90%)->14M(70%)
[211.418s][info][gc] Allocation Stall (main) 5.555ms
[211.420s][info][gc] GC(241) Garbage Collection (Allocation Stall) 18M(90%)->14M(70%)
[211.430s][info][gc] Allocation Stall (main) 6.345ms
[211.432s][info][gc] GC(242) Garbage Collection (Allocation Stall) 18M(90%)->16M(80%)
[211.441s][info][gc] GC(243) Garbage Collection (Allocation Rate) 16M(80%)->18M(90%)
[211.541s][info][gc] GC(244) Garbage Collection (Allocation Rate) 18M(90%)->8M(40%)
[211.641s][info][gc] GC(245) Garbage Collection (Allocation Rate) 8M(40%)->8M(40%)
[211.741s][info][gc] GC(246) Garbage Collection (Allocation Rate) 8M(40%)->8M(40%)
[211.842s][info][gc] GC(247) Garbage Collection (Allocation Rate) 10M(50%)->8M(40%)
[211.942s][info][gc] GC(248) Garbage Collection (Allocation Rate) 10M(50%)->8M(40%)
[212.042s][info][gc] GC(249) Garbage Collection (Allocation Rate) 8M(40%)->8M(40%)
[212.142s][info][gc] GC(250) Garbage Collection (Allocation Rate) 8M(40%)->8M(40%)
[212.241s][info][gc] GC(251) Garbage Collection (Allocation Rate) 8M(40%)->8M(40%)
[212.842s][info][gc] GC(252) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[213.342s][info][gc] GC(253) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[213.842s][info][gc] GC(254) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[214.342s][info][gc] GC(255) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[214.841s][info][gc] GC(256) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[215.342s][info][gc] GC(257) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[215.842s][info][gc] GC(258) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[216.341s][info][gc] GC(259) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[216.842s][info][gc] GC(260) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[217.342s][info][gc] GC(261) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[217.842s][info][gc] GC(262) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[218.342s][info][gc] GC(263) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[218.842s][info][gc] GC(264) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[219.342s][info][gc] GC(265) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[219.842s][info][gc] GC(266) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[220.342s][info][gc] GC(267) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[220.842s][info][gc] GC(268) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[221.341s][info][gc] GC(269) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[221.841s][info][gc] GC(270) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[222.342s][info][gc] GC(271) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[222.841s][info][gc] GC(272) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[223.342s][info][gc] GC(273) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[223.842s][info][gc] GC(274) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[224.342s][info][gc] GC(275) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[224.842s][info][gc] GC(276) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[225.343s][info][gc] GC(277) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[225.841s][info][gc] GC(278) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[226.341s][info][gc] GC(279) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[226.841s][info][gc] GC(280) Garbage Collection (Proactive) 10M(50%)->8M(40%)
